Passenger ID,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
4860,Female,Loyal Customer,32,Business travel,Eco,1167,4,2,2,2,4,4,4,5,3,2,1,4,1,4,136,150,satisfied
4861,Female,Loyal Customer,35,Business travel,Business,1121,1,1,1,1,2,4,4,5,5,5,5,5,5,3,0,0,satisfied
4862,Male,Loyal Customer,13,Personal Travel,Eco,283,2,1,2,3,3,2,5,3,1,5,4,4,4,3,52,37,neutral or dissatisfied
4863,Female,Loyal Customer,56,Personal Travel,Eco,838,2,5,2,2,5,5,5,2,2,2,2,3,2,4,30,23,neutral or dissatisfied
4864,Male,Loyal Customer,37,Business travel,Business,600,2,2,2,2,2,5,5,5,5,5,5,5,5,3,48,40,satisfied
4865,Female,disloyal Customer,19,Business travel,Eco,711,2,2,2,4,5,2,5,5,2,2,4,4,4,5,30,34,neutral or dissatisfied
4866,Female,Loyal Customer,62,Personal Travel,Eco,570,2,2,1,3,2,2,3,4,4,1,4,2,4,4,0,0,neutral or dissatisfied
4867,Male,Loyal Customer,41,Business travel,Business,3312,2,2,2,2,5,5,5,5,5,5,5,5,5,5,6,1,satisfied
4868,Male,Loyal Customer,22,Business travel,Eco Plus,2611,4,4,4,4,4,4,5,4,5,4,4,4,3,4,0,0,satisfied
4869,Male,disloyal Customer,35,Business travel,Business,1129,2,2,2,2,2,2,2,2,4,1,3,3,3,2,23,16,neutral or dissatisfied
4870,Female,Loyal Customer,64,Personal Travel,Eco,373,4,0,4,2,4,4,4,1,1,4,1,3,1,5,0,0,neutral or dissatisfied
4871,Male,Loyal Customer,37,Business travel,Business,3346,3,3,5,3,4,5,2,5,5,5,5,1,5,4,0,0,satisfied
4872,Male,disloyal Customer,29,Business travel,Business,1590,4,4,4,5,4,4,3,4,4,4,4,5,4,4,36,23,satisfied
4873,Female,disloyal Customer,23,Business travel,Business,460,4,2,4,4,4,1,1,4,4,5,4,1,5,1,381,374,satisfied
4874,Female,Loyal Customer,29,Personal Travel,Eco,868,1,3,1,4,2,1,2,2,4,3,3,2,3,2,0,0,neutral or dissatisfied
4875,Male,Loyal Customer,11,Personal Travel,Eco,110,2,2,2,3,2,2,2,2,2,4,4,3,4,2,70,64,neutral or dissatisfied
4876,Male,Loyal Customer,34,Personal Travel,Eco,618,2,5,2,1,1,2,1,1,3,5,4,5,5,1,0,1,neutral or dissatisfied
4877,Female,Loyal Customer,38,Business travel,Eco,323,3,1,1,1,3,4,3,3,1,3,4,2,4,3,27,27,neutral or dissatisfied
4878,Male,Loyal Customer,60,Business travel,Business,1119,4,4,4,4,3,4,4,4,4,4,4,5,4,5,0,39,satisfied
4879,Female,Loyal Customer,41,Business travel,Eco,452,1,5,2,2,1,1,1,1,1,1,4,1,3,1,27,35,neutral or dissatisfied
4880,Female,Loyal Customer,10,Personal Travel,Eco Plus,872,2,2,2,2,5,2,1,5,3,4,4,3,4,5,0,0,neutral or dissatisfied
4881,Female,Loyal Customer,27,Personal Travel,Eco,529,4,1,4,4,2,4,3,2,1,1,3,2,4,2,10,7,neutral or dissatisfied
4882,Female,Loyal Customer,10,Personal Travel,Eco Plus,334,1,4,1,3,1,1,1,1,4,2,5,5,4,1,11,19,neutral or dissatisfied
4883,Female,Loyal Customer,17,Personal Travel,Eco,156,2,5,2,3,2,2,2,2,5,5,5,3,4,2,0,0,neutral or dissatisfied
4884,Male,Loyal Customer,32,Business travel,Eco Plus,909,4,2,2,2,4,4,4,4,5,1,5,5,3,4,0,0,satisfied
4885,Male,Loyal Customer,53,Business travel,Eco,411,4,5,5,5,4,4,4,4,2,1,2,1,2,4,0,0,satisfied
4886,Male,disloyal Customer,22,Business travel,Business,530,5,3,5,5,4,5,5,4,3,3,5,3,4,4,0,0,satisfied
4887,Female,Loyal Customer,49,Personal Travel,Eco,351,1,4,1,4,2,4,3,5,5,1,5,3,5,3,0,0,neutral or dissatisfied
4888,Female,Loyal Customer,49,Business travel,Business,391,4,4,4,4,2,5,5,4,4,4,4,5,4,4,62,84,satisfied
4889,Female,Loyal Customer,35,Business travel,Eco,1506,1,0,0,3,0,3,3,3,2,2,3,3,2,3,90,135,neutral or dissatisfied
4890,Female,disloyal Customer,50,Business travel,Business,590,5,0,0,4,3,5,5,3,4,2,4,5,4,3,0,0,satisfied
4891,Female,Loyal Customer,36,Business travel,Business,2556,4,4,5,4,4,3,3,4,5,3,5,3,5,3,0,3,satisfied
4892,Male,Loyal Customer,30,Business travel,Business,3218,4,4,4,4,2,2,2,2,3,4,5,3,5,2,0,0,satisfied
4893,Male,Loyal Customer,46,Business travel,Eco,531,4,2,2,2,3,4,3,3,4,2,4,5,1,3,0,0,satisfied
4894,Male,Loyal Customer,53,Business travel,Business,402,5,5,5,5,3,4,4,4,4,4,4,4,4,3,0,0,satisfied
4895,Female,Loyal Customer,15,Personal Travel,Eco,646,1,1,1,4,4,1,4,4,4,5,4,4,4,4,1,0,neutral or dissatisfied
4896,Female,Loyal Customer,48,Business travel,Business,1741,2,2,2,2,5,5,5,5,5,5,5,4,5,4,14,48,satisfied
4897,Female,Loyal Customer,48,Business travel,Business,239,0,1,1,4,5,5,5,3,3,3,3,3,3,5,30,28,satisfied
4898,Male,Loyal Customer,58,Business travel,Business,3748,5,5,5,5,2,4,4,5,5,5,5,3,5,4,0,9,satisfied
4899,Female,disloyal Customer,43,Business travel,Eco,189,4,3,5,3,1,5,1,1,3,5,3,3,4,1,12,20,neutral or dissatisfied
4900,Female,Loyal Customer,45,Business travel,Eco,1005,2,1,3,3,3,3,3,2,2,2,2,2,2,1,57,67,neutral or dissatisfied
4901,Male,Loyal Customer,49,Business travel,Business,759,2,2,2,2,2,2,1,4,4,4,4,1,4,4,0,0,satisfied
4902,Male,disloyal Customer,36,Business travel,Business,777,1,1,1,1,1,1,1,1,5,5,5,3,4,1,1,0,neutral or dissatisfied
4903,Female,disloyal Customer,63,Business travel,Eco,106,3,1,3,3,4,3,4,4,2,2,4,2,3,4,0,0,neutral or dissatisfied
4904,Female,Loyal Customer,46,Personal Travel,Eco,1771,4,4,4,3,3,4,4,3,3,4,3,2,3,3,2,9,neutral or dissatisfied
4905,Male,Loyal Customer,30,Business travel,Business,2172,4,4,4,4,5,5,5,5,5,4,2,5,1,5,0,0,satisfied
4906,Female,Loyal Customer,70,Personal Travel,Eco Plus,345,2,5,2,2,2,4,4,5,5,2,5,5,5,3,0,0,neutral or dissatisfied
4907,Male,Loyal Customer,59,Business travel,Business,349,5,5,5,5,4,4,5,4,4,5,4,5,4,5,12,0,satisfied
4908,Female,disloyal Customer,25,Business travel,Eco Plus,1671,4,2,4,3,4,4,3,4,4,3,2,4,4,4,0,9,neutral or dissatisfied
4909,Female,Loyal Customer,13,Business travel,Eco,2329,5,5,5,5,5,5,4,5,5,1,5,4,2,5,0,0,satisfied
4910,Female,Loyal Customer,66,Personal Travel,Eco,2585,3,5,3,3,3,2,3,2,4,5,4,3,3,3,0,0,neutral or dissatisfied
4911,Female,Loyal Customer,43,Business travel,Eco Plus,1197,3,1,3,1,5,3,3,3,3,3,3,4,3,4,0,0,neutral or dissatisfied
4912,Female,Loyal Customer,37,Business travel,Business,611,3,3,3,3,5,5,5,4,4,5,4,3,4,4,9,0,satisfied
4913,Male,Loyal Customer,30,Business travel,Business,2667,1,1,1,1,4,4,4,4,5,5,5,5,5,4,11,0,satisfied
4914,Female,Loyal Customer,33,Personal Travel,Eco,1197,4,4,5,5,3,5,4,3,3,3,5,5,4,3,38,20,neutral or dissatisfied
4915,Female,Loyal Customer,39,Business travel,Eco,2329,4,3,3,3,4,4,4,4,3,2,3,4,3,4,18,34,neutral or dissatisfied
4916,Female,Loyal Customer,22,Personal Travel,Eco,515,5,4,5,5,2,5,2,2,5,4,5,5,4,2,14,3,satisfied
4917,Female,Loyal Customer,19,Personal Travel,Eco Plus,588,3,4,3,1,5,3,5,5,5,5,4,4,5,5,0,0,neutral or dissatisfied
4918,Female,Loyal Customer,20,Business travel,Business,1363,3,3,3,3,4,4,4,4,4,5,4,4,5,4,44,46,satisfied
4919,Female,Loyal Customer,60,Business travel,Business,3014,4,4,4,4,3,5,5,5,5,5,5,5,5,5,12,5,satisfied
4920,Female,Loyal Customer,38,Personal Travel,Eco,1313,4,5,4,2,2,4,2,2,3,2,4,3,5,2,12,32,satisfied
4921,Female,Loyal Customer,55,Business travel,Business,1750,1,1,1,1,2,4,4,5,5,5,5,4,5,3,0,0,satisfied
4922,Male,Loyal Customer,38,Business travel,Eco Plus,542,4,4,4,4,4,5,4,4,2,2,1,1,1,4,45,34,satisfied
4923,Female,Loyal Customer,9,Personal Travel,Eco,631,3,2,3,3,3,3,3,3,1,5,4,3,3,3,17,0,neutral or dissatisfied
4924,Male,Loyal Customer,53,Personal Travel,Eco,297,3,5,3,4,3,3,3,3,4,5,5,3,4,3,36,28,neutral or dissatisfied
4925,Male,Loyal Customer,54,Business travel,Business,3295,1,1,1,1,5,4,4,5,5,5,5,5,5,5,0,1,satisfied
4926,Male,Loyal Customer,55,Business travel,Business,2742,0,0,0,4,4,2,3,2,2,2,2,4,2,3,30,13,satisfied
4927,Female,Loyal Customer,38,Business travel,Business,3031,4,5,5,5,4,4,4,4,4,4,4,3,4,1,0,2,neutral or dissatisfied
4928,Male,disloyal Customer,29,Business travel,Eco,2454,1,1,1,3,1,4,4,4,4,3,3,4,1,4,51,57,neutral or dissatisfied
4929,Female,Loyal Customer,41,Business travel,Business,895,3,5,3,3,3,4,4,4,4,4,4,5,4,4,16,19,satisfied
4930,Female,Loyal Customer,39,Business travel,Business,157,5,5,3,5,4,4,4,4,4,4,5,4,4,5,0,0,satisfied
4931,Male,disloyal Customer,33,Business travel,Business,594,2,2,2,1,3,2,4,3,4,4,5,4,5,3,37,26,neutral or dissatisfied
4932,Male,disloyal Customer,36,Business travel,Eco Plus,533,2,2,2,3,2,2,2,2,2,5,4,4,4,2,36,35,neutral or dissatisfied
4933,Female,Loyal Customer,43,Business travel,Business,319,0,0,0,4,2,4,5,1,1,1,1,3,1,5,0,0,satisfied
4934,Male,disloyal Customer,25,Business travel,Eco,479,4,4,4,1,2,4,2,2,3,4,5,4,2,2,0,0,neutral or dissatisfied
4935,Male,Loyal Customer,17,Business travel,Eco Plus,370,3,3,3,3,3,3,4,3,1,2,3,4,3,3,12,14,neutral or dissatisfied
4936,Male,Loyal Customer,34,Personal Travel,Eco,602,4,4,4,3,4,5,5,5,4,5,4,5,5,5,130,140,neutral or dissatisfied
4937,Male,Loyal Customer,52,Business travel,Business,3599,1,1,1,1,2,3,3,1,1,1,1,1,1,3,82,100,neutral or dissatisfied
4938,Female,Loyal Customer,46,Business travel,Business,1744,2,2,2,2,4,3,4,3,3,3,3,3,3,3,43,57,satisfied
4939,Female,Loyal Customer,28,Business travel,Business,1887,1,1,1,1,5,5,5,5,3,3,1,5,2,5,0,0,satisfied
4940,Female,Loyal Customer,18,Personal Travel,Eco,250,1,5,1,4,2,1,2,2,3,2,4,4,5,2,0,7,neutral or dissatisfied
4941,Female,Loyal Customer,29,Business travel,Business,2511,5,5,5,5,4,4,4,4,2,5,2,2,4,4,0,0,satisfied
4942,Female,Loyal Customer,45,Business travel,Business,3189,5,5,5,5,5,5,5,5,5,5,4,3,5,5,104,102,satisfied
4943,Male,Loyal Customer,32,Business travel,Business,413,5,5,3,5,4,4,4,4,4,2,5,5,5,4,0,15,satisfied
4944,Male,Loyal Customer,53,Business travel,Business,1641,0,0,0,4,2,5,4,5,5,5,3,4,5,3,0,16,satisfied
4945,Male,Loyal Customer,51,Business travel,Business,490,5,5,5,5,3,4,5,4,4,4,4,2,4,4,0,0,satisfied
4946,Female,Loyal Customer,42,Personal Travel,Eco,1346,4,5,3,2,5,4,5,4,4,3,4,4,4,4,0,0,neutral or dissatisfied
4947,Female,Loyal Customer,50,Business travel,Business,502,1,1,1,1,3,5,5,5,5,5,5,3,5,5,66,54,satisfied
4948,Male,Loyal Customer,66,Business travel,Eco,414,3,5,5,5,3,3,3,3,4,1,3,1,3,3,0,0,neutral or dissatisfied
4949,Male,Loyal Customer,34,Personal Travel,Eco,214,2,4,2,3,4,2,4,4,1,5,4,1,4,4,0,26,neutral or dissatisfied
4950,Female,Loyal Customer,46,Business travel,Business,197,1,4,4,4,3,3,3,3,3,3,1,3,3,4,8,29,neutral or dissatisfied
4951,Male,disloyal Customer,22,Business travel,Eco,571,3,1,3,1,1,3,1,1,2,2,2,3,2,1,35,91,neutral or dissatisfied
4952,Female,disloyal Customer,29,Business travel,Business,2079,1,1,1,4,5,1,5,5,5,2,4,5,5,5,0,1,neutral or dissatisfied
4953,Male,Loyal Customer,59,Personal Travel,Eco,1325,1,4,1,4,4,1,4,4,3,2,3,5,4,4,0,0,neutral or dissatisfied
4954,Male,Loyal Customer,50,Business travel,Eco Plus,1199,2,5,5,5,2,2,2,2,3,5,3,3,3,2,84,66,neutral or dissatisfied
4955,Female,Loyal Customer,43,Business travel,Business,228,3,5,5,5,2,2,3,3,3,3,3,4,3,3,7,4,neutral or dissatisfied
4956,Male,Loyal Customer,59,Business travel,Business,432,5,5,5,5,3,4,2,5,5,5,5,2,5,5,78,55,satisfied
4957,Female,Loyal Customer,29,Business travel,Eco,1666,5,3,3,3,5,5,5,5,3,2,4,5,3,5,0,18,satisfied
4958,Male,Loyal Customer,48,Business travel,Eco,191,5,1,1,1,5,5,5,5,3,2,5,2,3,5,0,0,satisfied
4959,Male,Loyal Customer,58,Personal Travel,Eco,503,2,4,2,5,4,2,5,4,5,2,4,5,4,4,3,0,neutral or dissatisfied
4960,Male,Loyal Customer,69,Personal Travel,Eco,723,3,1,3,4,4,3,4,4,3,4,3,1,4,4,0,0,neutral or dissatisfied
4961,Female,Loyal Customer,33,Business travel,Eco,77,1,5,5,5,1,1,1,1,3,3,4,2,3,1,25,20,neutral or dissatisfied
4962,Female,Loyal Customer,43,Business travel,Business,1650,2,2,2,2,4,4,4,4,4,4,4,5,4,3,45,42,satisfied
4963,Female,Loyal Customer,42,Business travel,Eco,305,4,1,2,1,3,2,5,4,4,4,4,3,4,3,4,0,satisfied
4964,Male,disloyal Customer,31,Business travel,Eco,1282,1,0,0,3,5,1,1,5,4,1,3,1,4,5,13,0,neutral or dissatisfied
4965,Male,Loyal Customer,46,Business travel,Business,2096,5,5,5,5,4,5,4,4,4,4,4,3,4,4,4,0,satisfied
4966,Female,Loyal Customer,27,Personal Travel,Eco,679,3,5,3,1,5,3,5,5,4,3,4,5,4,5,0,0,neutral or dissatisfied
4967,Male,Loyal Customer,55,Business travel,Business,447,4,4,4,4,5,5,5,5,5,5,5,4,5,5,0,0,satisfied
4968,Male,disloyal Customer,45,Business travel,Business,651,1,1,1,3,3,1,3,3,4,5,4,3,4,3,0,0,neutral or dissatisfied
4969,Male,Loyal Customer,33,Business travel,Business,3648,1,5,5,5,1,1,1,1,3,2,3,3,3,1,117,108,neutral or dissatisfied
4970,Female,disloyal Customer,23,Business travel,Eco,258,4,5,4,4,4,2,2,3,3,4,5,2,3,2,111,140,neutral or dissatisfied
4971,Female,Loyal Customer,63,Business travel,Business,691,4,4,4,4,3,4,4,2,2,2,2,3,2,5,0,0,satisfied
4972,Male,Loyal Customer,60,Business travel,Eco Plus,738,3,1,1,1,3,3,3,3,4,1,4,1,3,3,44,36,neutral or dissatisfied
4973,Female,Loyal Customer,52,Business travel,Business,650,5,5,5,5,3,4,5,4,4,4,4,5,4,5,64,64,satisfied
4974,Female,disloyal Customer,25,Business travel,Eco,407,3,4,3,1,4,3,4,4,5,3,2,4,2,4,0,0,neutral or dissatisfied
4975,Female,Loyal Customer,68,Business travel,Business,3043,2,2,2,2,5,4,5,4,4,4,4,4,4,4,1,0,satisfied
4976,Female,Loyal Customer,59,Business travel,Business,1337,5,5,5,5,3,5,4,3,3,4,3,3,3,3,0,0,satisfied
4977,Female,Loyal Customer,53,Personal Travel,Eco,296,4,4,4,3,1,3,3,2,2,4,2,2,2,1,0,0,satisfied
4978,Female,Loyal Customer,24,Personal Travel,Eco,270,4,0,5,1,2,5,2,2,5,5,4,4,4,2,44,41,neutral or dissatisfied
4979,Female,Loyal Customer,58,Personal Travel,Business,787,2,1,2,4,5,4,3,4,4,2,4,3,4,4,7,31,neutral or dissatisfied
4980,Male,Loyal Customer,40,Business travel,Eco,363,4,5,5,5,4,4,4,4,1,5,3,4,4,4,0,0,neutral or dissatisfied
4981,Male,Loyal Customer,43,Personal Travel,Eco,259,1,5,1,2,2,1,5,2,1,3,5,1,3,2,1,0,neutral or dissatisfied
4982,Male,Loyal Customer,60,Business travel,Business,440,4,4,4,4,4,5,4,4,4,4,4,4,4,4,17,0,satisfied
4983,Female,disloyal Customer,35,Business travel,Eco,666,2,4,3,3,5,3,3,5,2,2,4,1,4,5,0,26,neutral or dissatisfied
4984,Female,Loyal Customer,34,Business travel,Business,191,2,3,3,3,5,4,3,2,2,2,2,1,2,2,0,0,neutral or dissatisfied
4985,Female,Loyal Customer,60,Personal Travel,Eco,1504,3,3,3,3,5,4,3,1,1,3,1,2,1,2,28,25,neutral or dissatisfied
4986,Female,disloyal Customer,37,Business travel,Business,304,4,4,4,4,3,4,3,3,4,4,4,4,4,3,0,0,satisfied
4987,Female,Loyal Customer,13,Personal Travel,Eco,479,3,4,3,3,4,3,4,4,1,4,3,2,4,4,0,0,neutral or dissatisfied
4988,Female,Loyal Customer,11,Personal Travel,Eco,247,1,1,1,2,2,1,2,2,3,5,3,4,3,2,0,12,neutral or dissatisfied
4989,Female,Loyal Customer,62,Business travel,Business,1235,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0,satisfied
4990,Female,Loyal Customer,31,Business travel,Business,3702,4,5,4,4,4,4,4,4,2,3,1,1,2,4,71,69,neutral or dissatisfied
4991,Female,Loyal Customer,52,Business travel,Business,2586,3,3,3,3,4,4,4,3,3,4,5,4,4,4,0,0,satisfied
4992,Female,Loyal Customer,45,Business travel,Business,3067,4,4,4,4,3,4,4,4,4,4,4,5,4,5,0,0,satisfied
4993,Female,Loyal Customer,52,Personal Travel,Eco,2449,3,3,2,1,2,3,3,5,2,5,4,3,2,3,2,6,neutral or dissatisfied
4994,Female,disloyal Customer,25,Business travel,Eco,759,3,4,4,4,4,4,4,4,3,1,3,1,3,4,0,0,neutral or dissatisfied
4995,Female,Loyal Customer,41,Personal Travel,Eco Plus,746,3,5,3,4,5,3,3,3,3,3,3,5,3,4,4,28,neutral or dissatisfied
4996,Male,Loyal Customer,53,Business travel,Business,3095,3,3,3,3,4,5,5,3,3,3,3,3,3,5,0,0,satisfied
4997,Male,disloyal Customer,21,Business travel,Eco,125,4,0,4,4,5,4,5,5,3,4,4,1,1,5,58,60,satisfied
4998,Male,Loyal Customer,59,Business travel,Eco,302,4,3,3,3,4,4,4,4,5,2,4,1,2,4,0,0,satisfied
4999,Male,disloyal Customer,25,Business travel,Business,738,1,4,2,4,3,2,1,3,5,5,5,4,5,3,86,71,neutral or dissatisfied
5000,Female,Loyal Customer,45,Business travel,Business,2288,4,4,4,4,4,3,4,5,5,4,5,3,5,3,0,11,satisfied
5001,Male,Loyal Customer,57,Business travel,Business,2116,4,2,4,4,3,1,2,5,5,4,4,1,5,1,0,0,satisfied
5002,Male,disloyal Customer,24,Business travel,Eco,925,5,5,5,2,3,5,3,3,1,3,1,2,1,3,0,0,satisfied
5003,Male,disloyal Customer,35,Business travel,Business,1020,3,3,3,3,5,3,5,5,5,2,4,5,4,5,1,0,neutral or dissatisfied
5004,Female,Loyal Customer,35,Business travel,Business,1770,2,2,2,2,3,3,4,5,5,5,5,1,5,4,0,0,satisfied
5005,Female,Loyal Customer,45,Personal Travel,Eco,600,2,2,2,2,2,4,5,5,5,2,5,5,5,3,0,4,neutral or dissatisfied
5006,Female,Loyal Customer,43,Business travel,Business,1726,4,4,4,4,2,5,4,4,4,4,4,4,4,3,1,6,satisfied
5007,Male,disloyal Customer,24,Business travel,Eco,717,0,0,0,4,4,0,3,4,5,3,2,3,5,4,0,5,satisfied
5008,Male,Loyal Customer,50,Business travel,Business,416,3,3,3,3,1,5,2,5,5,5,5,2,5,4,0,0,satisfied
5009,Male,Loyal Customer,39,Business travel,Business,862,3,3,3,3,3,2,3,3,3,3,3,4,3,3,6,0,neutral or dissatisfied
5010,Male,Loyal Customer,45,Personal Travel,Eco,628,1,1,1,3,5,1,5,5,4,1,3,4,4,5,0,0,neutral or dissatisfied
5011,Male,Loyal Customer,60,Personal Travel,Eco,259,2,1,2,3,5,2,5,5,4,4,3,1,4,5,0,0,neutral or dissatisfied
5012,Male,Loyal Customer,61,Business travel,Business,3121,2,1,2,2,3,5,4,5,5,5,5,1,5,4,0,0,satisfied
5013,Female,Loyal Customer,15,Business travel,Eco,1022,3,3,3,3,3,3,4,3,4,2,3,2,3,3,0,0,neutral or dissatisfied
5014,Female,Loyal Customer,48,Business travel,Eco Plus,964,3,1,1,1,2,3,3,2,2,3,2,3,2,3,34,19,satisfied
5015,Female,Loyal Customer,67,Personal Travel,Eco Plus,590,1,5,1,5,5,5,4,3,3,1,3,5,3,3,0,0,neutral or dissatisfied
5016,Male,Loyal Customer,21,Business travel,Business,946,3,4,4,4,3,2,3,3,3,5,4,2,4,3,0,0,neutral or dissatisfied
5017,Male,Loyal Customer,69,Personal Travel,Eco,228,3,4,3,5,2,3,2,2,4,4,4,4,4,2,5,5,neutral or dissatisfied
5018,Female,disloyal Customer,28,Business travel,Business,507,4,4,4,3,4,4,5,4,4,5,4,5,5,4,0,0,satisfied
5019,Male,Loyal Customer,44,Business travel,Business,2691,1,1,3,1,2,5,4,5,5,4,5,4,5,3,0,0,satisfied
5020,Female,Loyal Customer,34,Business travel,Business,1185,3,2,2,2,4,3,4,3,3,3,3,4,3,1,11,0,neutral or dissatisfied
5021,Male,disloyal Customer,25,Business travel,Eco,1313,1,1,1,1,5,1,5,5,4,4,4,3,5,5,0,0,neutral or dissatisfied
5022,Female,Loyal Customer,40,Business travel,Eco Plus,1065,4,2,2,2,4,4,4,4,4,2,2,2,1,4,63,66,satisfied
5023,Male,Loyal Customer,58,Business travel,Business,3491,3,3,3,3,5,4,4,5,5,5,5,5,5,3,0,0,satisfied
5024,Female,Loyal Customer,32,Personal Travel,Eco Plus,692,3,5,3,2,3,3,3,3,5,5,5,5,4,3,0,0,neutral or dissatisfied
5025,Male,Loyal Customer,50,Business travel,Eco,802,2,2,2,2,2,2,2,2,2,2,4,2,3,2,0,2,neutral or dissatisfied
5026,Female,Loyal Customer,42,Business travel,Eco Plus,448,5,5,4,5,5,4,2,5,5,5,5,4,5,4,7,1,satisfied
5027,Female,Loyal Customer,16,Business travel,Business,599,5,5,4,5,3,3,3,3,5,4,5,4,5,3,0,3,satisfied
5028,Male,Loyal Customer,37,Business travel,Eco,352,4,1,5,1,4,4,4,4,3,2,3,4,3,4,0,0,neutral or dissatisfied
5029,Male,Loyal Customer,76,Business travel,Eco,460,1,1,4,4,1,1,1,1,3,2,4,4,3,1,0,0,neutral or dissatisfied
5030,Male,Loyal Customer,38,Business travel,Eco,86,3,3,3,3,3,3,3,3,1,5,5,3,2,3,4,2,satisfied
5031,Female,disloyal Customer,32,Business travel,Eco,231,4,4,3,3,4,3,4,4,3,2,1,3,4,4,0,0,neutral or dissatisfied
5032,Male,disloyal Customer,21,Business travel,Business,882,5,0,5,4,4,5,1,4,3,4,5,4,5,4,1,11,satisfied
5033,Male,Loyal Customer,53,Business travel,Business,1999,4,4,4,4,3,4,5,5,5,5,5,5,5,5,0,0,satisfied
5034,Male,Loyal Customer,31,Personal Travel,Eco,293,5,4,5,4,5,5,5,5,4,5,3,2,4,5,5,0,satisfied
5035,Male,Loyal Customer,56,Personal Travel,Eco Plus,842,2,3,2,5,3,2,3,3,1,5,5,5,5,3,16,9,neutral or dissatisfied
5036,Male,Loyal Customer,55,Business travel,Eco,834,5,1,1,1,5,4,4,2,4,2,4,4,4,4,156,142,satisfied
5037,Male,Loyal Customer,68,Business travel,Business,1831,2,2,2,2,3,1,2,4,4,4,4,1,4,1,0,0,satisfied
5038,Male,Loyal Customer,57,Personal Travel,Eco Plus,738,3,4,3,1,2,3,2,2,5,3,5,4,5,2,0,0,neutral or dissatisfied
5039,Female,Loyal Customer,38,Business travel,Business,1705,4,4,2,4,1,4,1,5,5,5,5,1,5,4,0,0,satisfied
5040,Female,Loyal Customer,47,Business travel,Eco,429,5,3,2,3,4,5,3,5,5,5,5,4,5,2,30,22,satisfied
5041,Male,Loyal Customer,49,Personal Travel,Eco,719,3,2,3,3,1,3,1,1,3,3,4,1,3,1,4,0,neutral or dissatisfied
5042,Male,Loyal Customer,28,Business travel,Eco,86,1,3,3,3,1,1,1,1,2,5,4,2,4,1,0,0,neutral or dissatisfied
5043,Male,disloyal Customer,23,Business travel,Eco,1322,4,4,4,3,1,4,1,1,3,4,3,3,4,1,34,38,satisfied
5044,Female,disloyal Customer,22,Business travel,Eco,761,1,1,1,3,1,1,1,1,1,3,3,2,2,1,7,0,neutral or dissatisfied
5045,Male,disloyal Customer,39,Business travel,Business,708,3,3,3,3,1,3,5,1,4,5,2,1,3,1,90,122,neutral or dissatisfied
5046,Female,disloyal Customer,39,Business travel,Eco Plus,67,2,2,2,3,4,2,5,4,5,2,2,1,2,4,0,0,neutral or dissatisfied
5047,Female,Loyal Customer,53,Personal Travel,Eco Plus,240,3,4,0,1,4,4,4,4,4,0,4,4,4,4,0,0,neutral or dissatisfied
5048,Male,Loyal Customer,63,Business travel,Business,2464,1,1,1,1,1,3,4,5,5,5,5,4,5,1,10,14,satisfied
5049,Male,Loyal Customer,65,Personal Travel,Eco,1121,3,5,3,1,1,3,1,1,4,3,4,4,4,1,1,0,neutral or dissatisfied
5050,Male,disloyal Customer,20,Business travel,Eco,574,2,2,2,4,5,2,5,5,3,2,4,2,3,5,0,3,neutral or dissatisfied
5051,Male,Loyal Customer,31,Business travel,Business,368,2,2,2,2,4,4,4,4,5,3,5,5,4,4,0,4,satisfied
5052,Male,Loyal Customer,40,Business travel,Business,3441,4,4,4,4,5,3,4,5,5,5,4,5,5,4,0,0,satisfied
5053,Male,Loyal Customer,42,Business travel,Business,3550,3,3,3,3,2,5,4,3,3,3,3,3,3,3,20,1,satisfied
5054,Male,Loyal Customer,41,Business travel,Business,2865,2,2,4,2,3,4,4,5,5,5,5,4,5,3,72,78,satisfied
5055,Female,Loyal Customer,50,Business travel,Business,936,1,1,1,1,5,4,5,5,5,5,5,3,5,3,0,0,satisfied
5056,Female,Loyal Customer,27,Business travel,Business,1601,5,5,5,5,5,5,5,5,4,3,1,4,5,5,0,13,satisfied
5057,Male,Loyal Customer,57,Business travel,Business,2355,1,4,4,4,2,3,2,1,1,1,1,1,1,1,79,75,neutral or dissatisfied
5058,Male,Loyal Customer,51,Business travel,Eco,399,4,5,5,5,4,4,4,4,1,5,5,4,2,4,13,5,satisfied
5059,Female,Loyal Customer,44,Business travel,Business,224,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0,0,satisfied
5060,Male,Loyal Customer,41,Business travel,Business,3382,1,1,5,1,4,4,3,2,2,3,1,1,2,1,43,37,neutral or dissatisfied
5061,Male,Loyal Customer,51,Business travel,Business,2293,1,1,3,1,4,4,4,4,4,4,4,5,4,4,0,0,satisfied
5062,Male,disloyal Customer,22,Business travel,Eco,2248,1,0,0,1,5,1,5,5,5,5,3,5,4,5,1,0,neutral or dissatisfied
5063,Female,Loyal Customer,51,Business travel,Business,377,3,3,3,3,4,5,5,2,2,2,2,5,2,4,0,0,satisfied
